NO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_DOC_TOTAL,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,IN_ACESSO_PORTAL_CAPES,IN_REPOSITORIO_INSTITUCIONAL,IN_SERVICO_INTERNET,idade,genero,cor_raca,estado,nivel_ensino,situacao_trabalho,setor,tamanho_empresa,cargo,nivel_cargo,faixa_salarial,exp_dados,exp_ti,satisfacao,motivo_insatisfacao,modelo_trabalho,modelo_ideal,layoff,sql,r,python,c_cpp_csharp,dotnet,java,javascript,linguagem_principal,mysql,sql_server,postgresql,bigquery,snowflake,databricks,azure,aws,gcp,powerbi,tableau,looker,looker_studio,excel_planilhas,ia_prioridade,ia_uso_independente,ia_uso_centralizado,ia_copilots,ia_produtos_externos,ia_produtos_internos,ia_principal_negocio,ia_nao_prioridade,ia_nao_sabe,ia_nao_usa,ia_gratuita,ia_paga_pessoal,ia_paga_empresa,ia_usa_copilot,tamanho_empresa_cat,satisfacao_binaria,salario_medio,exp_dados_num,exp_ti_num,nivel_ia,Contextualizacao
Centro Universitário Sudoeste Paulista,SP,4,60,139,49,64,150,15000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE TECSOMA,MG,4,53,22,9,12,975,15808,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE EDUVALE DE AVARÉ,SP,5,42,152,51,54,330,15604,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE APUCARANA,PR,5,32,86,13,28,0,27755,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Multivix Serra,ES,4,377,215,25,132,5000,23500,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,RS,5,29,75,35,34,10222,33278,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário Uninovo,PE,5,31,76,14,34,278,14000,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO FACISA,PB,4,634,397,132,193,309,13972,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO ASSIS GURGACZ,PR,5,456,309,62,136,4237,16589,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO MATER DEI,PR,4,51,101,15,68,167,12000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ANHANGUERA DE OSASCO,SP,4,88,96,43,29,32908,263916,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE BATISTA DE MINAS GERAIS,MG,4,9,14,0,12,243,16600,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário Multiversa do Jaguaribe- UNIJAGUARIBE,CE,4,76,92,9,29,26,19408,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO SOCIESC,SC,4,97,166,56,97,20882,35075,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADES INTEGRADAS DE JAHU,SP,5,72,97,37,46,21500,13689,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,SP,7,83,234,64,84,205,144,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Multivix Nova Venécia,ES,4,102,89,12,26,5000,23500,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
iCEV - Instituto de Ensino Superior,PI,4,7,51,9,30,0,14830,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário Governador Ozanam Coelho,MG,4,251,116,37,55,15944,18894,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE VISCONDE DE CAIRÚ,BA,5,47,108,22,59,253,12000,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário de Excelência de Vitória da Conquista,BA,4,77,95,45,49,31000,20000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE CASA BRANCA,SP,4,8,19,7,12,12,39,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE GUARANTÃ DO NORTE,MT,4,26,75,10,39,5750,32000,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,MT,5,27,41,9,18,180,13967,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário FAESA,ES,5,47,101,27,71,368,213415,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Martha Falcão Wyden,AM,4,121,96,17,69,36000,25000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdades EST,RS,5,32,25,17,6,52000,113,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE NOVO HORIZONTE DE IPOJUCA,PE,5,13,55,2,23,0,13000,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE SANTA HELENA,PE,5,25,76,6,46,87,2339,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADES INTEGRADAS IPEP,SP,5,53,4,1,0,157,561,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ESAMC CAMPINAS,SP,4,96,116,6,53,824,16500,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO SUMARÉ,SP,4,50,52,8,29,350,2500,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE CALDAS NOVAS,GO,4,15,36,1,10,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário Dinâmica das Cataratas,PR,4,12,165,53,80,84,13380,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário SENAI Paraná,PR,5,51,90,19,49,855,1412,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ADELMAR ROSADO,PI,4,5,9,3,3,2,6,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,GO,4,3,11,0,1,6,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Estácio de Pimenta Bueno,RO,4,41,40,10,15,36000,25000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE PIRACANJUBA,GO,4,18,40,16,24,17,50,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DO CENTRO LESTE,ES,4,17,45,5,34,37,2710,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ANHANGUERA DE JUNDIAÍ,SP,4,108,106,55,24,32908,263916,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário São Lucas Porto Velho,RO,4,250,212,44,86,12417,13182,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE CNEC CAMPO LARGO,PR,5,4,4,0,1,591,591,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO CURITIBA,PR,4,81,140,68,69,20882,35075,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADES DE DRACENA,SP,5,95,111,26,46,22233,22233,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Ideal Wyden,PA,4,131,120,27,79,36000,25000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Faculdade Evoluir,CE,5,23,21,5,11,2300,3050,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,GO,5,54,109,39,54,8540,28710,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA,RS,4,89,471,161,263,15043,31907,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE BATISTA DO RIO DE JANEIRO,RJ,5,29,23,8,8,20000,15827,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE BERTIOGA,SP,5,8,34,6,11,38,2890,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário de Itapira Uniesi,SP,4,33,59,10,27,350,23000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
ESCOLA SUPERIOR BATISTA DO AMAZONAS,AM,4,71,108,13,55,233,13752,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADES DE CAMPINAS,SP,4,46,128,69,54,100,15000,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
INSTITUTO APHONSIANO DE ENSINO SUPERIOR,GO,4,25,32,10,16,416,18241,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE TECNOLOGIA DO PIAUÍ,PI,4,7,31,2,14,45,45,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE VIVA VITÓRIA,ES,5,14,7,0,3,300,300,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA,SP,5,37,154,42,52,0,9800,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,SP,5,252,171,104,64,2200,8408,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,DF,4,71,801,77,276,450,23000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE IBAITI,PR,5,9,9,0,2,22203,11213,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO,MG,5,35,92,20,42,7312,4781,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ANHANGUERA DO MARANHÃO,MA,4,142,133,52,54,32908,263916,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE SANTÍSSIMO SACRAMENTO,BA,5,55,100,18,62,305,16831,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ANHANGUERA DE SERTÃOZINHO,SP,4,18,57,33,15,32908,263916,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO MÁRIO PALMÉRIO,MG,5,42,105,22,54,0,14899,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
Centro Universitário Zarns - Salvador,BA,4,149,124,66,56,4107,13407,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
INSTITUTO PARAIBANO DE ENSINO RENOVADO,PB,4,17,1,1,0,350,23000,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE ESAMC UBERLÂNDIA,MG,4,50,120,17,62,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE CESUSC,SC,4,61,129,29,71,802,23156,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
