Estado,Idade,Genero,Raca_cor,Satisfacao_atual,Fatores_satisfacao,Motivos_insatisfacao,Nivel_experiencia,Tempo_experiencia_dados,Faixa_salarial,Ferramentas_utilizadas,Cargo_atual,Uso_IA_Generativa,Finalidade_IA_Generativa,Barreiras_IA_Generativa,Tamanho_empresa,Setor_empresa,Equipe_dados,Prioridade_IA
SP,43,Masculino,Branca,1.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Não informado,Não informado,Mais de 10 anos,Acima de R$ 40.001/mês,Não informado,Não informado,Não informado,Não informado,Falta de compreensão dos casos de uso.,de 11 a 50,Tecnologia/Fábrica de Software,4 - 10,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
SP,25,Masculino,Branca,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto",Não informado,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Tecnologia/Fábrica de Software,Não informado,Não informado
RJ,35,Feminino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Pleno,Menos de 1 ano,de R$ 12.001/mês a R$ 16.000/mês,"Python, SQL",Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Setor de Energia,Não informado,Não informado
SP,36,Masculino,Branca,1.0,Remuneração/Salário,Não informado,Sênior,de 7 a 10 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, JavaScript, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,Acima de 3.000,Seguros ou Previdência,Não informado,Não informado
SP,26,Masculino,Branca,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Benefícios",Não informado,Pleno,de 5 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,SQL,Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,de 101 a 500,Outra Opção,Não informado,Não informado
RJ,43,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Sênior,Menos de 1 ano,de R$ 25.001/mês a R$ 30.000/mês,Visual Basic/VBA,Outra Opção,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 501 a 1.000,Setor de Energia,Não informado,Não informado
SP,38,Masculino,Branca,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados","Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa",Júnior,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python, Visual Basic/VBA",Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Educação,Não informado,Não informado
PE,29,Feminino,Branca,1.0,Plano de carreira e oportunidades de crescimento profissional,Não informado,Pleno,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
MG,31,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 3 a 4 anos,de R$ 6.001/mês a R$ 8.000/mês,"Python, SQL",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Área de Consultoria,Não informado,Não informado
SE,22,Masculino,Preta,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa",Salário atual não corresponde ao mercado,Pleno,Menos de 1 ano,Menos de R$ 1.000/mês,Não utilizo nenhuma das linguagens listadas,Professor/Pesquisador,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,de 11 a 50,Educação,Não informado,Não informado
SC,38,Feminino,Preta,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Salário atual não corresponde ao mercado,Júnior,Menos de 1 ano,de R$ 3.001/mês a R$ 4.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 501 a 1.000,Setor Automotivo,Não informado,Não informado
RJ,38,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",Não informado,Sênior,Menos de 1 ano,de R$ 6.001/mês a R$ 8.000/mês,R,Outra Opção,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,de 101 a 500,Área da Saúde,Não informado,Não informado
RS,21,Masculino,Branca,1.0,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Reputação que a empresa tem no mercado",Não informado,Júnior,de 1 a 2 anos,de R$ 1.001/mês a R$ 2.000/mês,Não utilizo nenhuma das linguagens listadas,Analista de BI/BI Analyst,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,de 51 a 100,Marketing,Não informado,Não informado
SP,27,Feminino,Branca,1.0,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Benefícios",Não informado,Pleno,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"Python, R, SAS/Stata",Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,Acima de 3.000,Área de Consultoria,Não informado,Não informado
SP,49,Masculino,Parda,1.0,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Plano de carreira e oportunidades de crescimento profissional",Não informado,Sênior,de 5 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
ES,28,Masculino,Preta,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área","Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",Júnior,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,de 501 a 1.000,Outra Opção,Não informado,Não informado
RJ,26,Masculino,Branca,1.0,Ambiente e clima de trabalho,Não informado,Júnior,Menos de 1 ano,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
MG,27,Masculino,Branca,1.0,"Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa, Remuneração/Salário",Não informado,Júnior,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"Python, Visual Basic/VBA",Professor/Pesquisador,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,Acima de 3.000,Indústria,Não informado,Não informado
SE,27,Masculino,Preta,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional","Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,Python,Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Soluções de IA Generatica e LLMs estão sendo tratadas como principal frente do negócio (com o objetivo de substituir o modelo de negócio atual)",Não informado,de 101 a 500,Área de Consultoria,Não informado,Não informado
SP,34,Masculino,Branca,0.0,"Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário","Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa",Júnior,de 1 a 2 anos,de R$ 3.001/mês a R$ 4.000/mês,"Python, SQL",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Área da Saúde,Não informado,Não informado
PR,40,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Não informado,de 7 a 10 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,Dados da empresa não estão prontos para uso de IA Generativa.,de 1 a 5,Tecnologia/Fábrica de Software,1 - 3,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
SP,35,Feminino,Branca,0.0,"Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área","O clima de trabalho/ambiente não é bom, Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual",Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,Não utilizo nenhuma das linguagens listadas,Analista de Suporte/Analista Técnico,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
ES,27,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia., Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
BA,39,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Júnior,Menos de 1 ano,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
MA,38,Masculino,Parda,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto","Não tenho uma boa relação com meu líder/gestor, Gostaria de trabalhar em em outra área de atuação, Salário atual não corresponde ao mercado",Sênior,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"Python, PHP, JavaScript",Professor/Pesquisador,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.",Não sei opinar.,Não informado,Acima de 3.000,Educação,Não informado,Não informado
PR,27,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,"Python, SQL",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 101 a 500,Setor Imobiliário/ Construção Civil,Não informado,Não informado
MT,24,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Sênior,de 5 a 6 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, R, Python, SAS/Stata",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
SP,26,Feminino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",Não informado,Acima de 3.000,Internet/Ecommerce,Não informado,Não informado
GO,34,Masculino,Branca,0.0,"Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Reputação que a empresa tem no mercado","Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado, Não tenho uma boa relação com meu líder/gestor",Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Agronegócios,Não informado,Não informado
SP,26,Feminino,Branca,1.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Não informado,Pleno,de 7 a 10 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, SAS/Stata, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Telecomunicação,Não informado,Não informado
SP,30,Masculino,Branca,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho","Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa",Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 1.001 a 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,32,Masculino,Parda,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 3 a 4 anos,de R$ 4.001/mês a R$ 6.000/mês,SQL,Analista de BI/BI Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 1.001 a 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
PA,26,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Não informado,de 3 a 4 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Dados da empresa não estão prontos para uso de IA Generativa., Alta direção da empresa não vê valor ou não vê esse tipo de iniciativa como prioridade.",de 101 a 500,Telecomunicação,4 - 10,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.
SP,33,Masculino,Preta,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Não informado,de 4 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Preocupações com segurança e privacidade de dados., Preocupações com propriedade intelectual (ou seja, tipo de dados usados para treinar um modelo de terceiros).",de 501 a 1.000,Telecomunicação,1 - 3,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
SP,25,Feminino,Preta,1.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Não informado,Não informado,Não tenho experiência na área de dados,de R$ 6.001/mês a R$ 8.000/mês,Não informado,Não informado,Não informado,Não informado,Nao sei opinar,de 501 a 1.000,Tecnologia/Fábrica de Software,51 - 100,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante)."
PR,37,Feminino,Preta,1.0,"Plano de carreira e oportunidades de crescimento profissional, Reputação que a empresa tem no mercado, Remuneração/Salário",Não informado,Sênior,Mais de 10 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Indústria,Não informado,Não informado
ES,30,Masculino,Parda,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho","O clima de trabalho/ambiente não é bom, Gostaria de trabalhar em em outra área de atuação, Falta de oportunidade de crescimento no emprego atual",Não informado,de 4 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Preocupações com segurança e privacidade de dados., Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos)., Dados da empresa não estão prontos para uso de IA Generativa.",Acima de 3.000,Finanças ou Bancos,Acima de 300 pessoas,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
Não informado,33,Feminino,Branca,1.0,"Remuneração/Salário, Benefícios, Ambiente e clima de trabalho",Não informado,Pleno,de 4 a 6 anos,de R$ 30.001/mês a R$ 40.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento.",Não informado,de 1.001 a 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
BA,21,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto",Não informado,Júnior,de 1 a 2 anos,Menos de R$ 1.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.",Não sei opinar.,Não informado,Acima de 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,33,Masculino,Branca,1.0,"Remuneração/Salário, Qualidade dos gestores e líderes, Plano de carreira e oportunidades de crescimento profissional",Não informado,Sênior,de 4 a 6 anos,de R$ 16.001/mês a R$ 20.000/mês,"Python, SQL",Engenheiro de Machine Learning/ML Engineer/AI Engineer,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 1.001 a 3.000,Finanças ou Bancos,Não informado,Não informado
SP,28,Feminino,Parda,1.0,"Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Sênior,de 5 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Scala",Analista de Negócios/Business Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
RN,25,Masculino,Parda,0.0,"Remuneração/Salário, Benefícios, Propósito do trabalho e da empresa",Falta de oportunidade de crescimento no emprego atual,Pleno,de 1 a 2 anos,de R$ 4.001/mês a R$ 6.000/mês,Não utilizo nenhuma das linguagens listadas,Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 101 a 500,Tecnologia/Fábrica de Software,Não informado,Não informado
